env_name,env_version,obs_version,policy_name,seed,frame_skip,sim_fps,decision_hz,episode_len_decisions,return_sum,distance_px,terminated,truncated,death_cause,grounded_ratio
GGEnv,v2,v2,random,101,4,60,15.0,112,110.0,1862.5,1,0,spike,0.161
GGEnv,v2,v2,random,102,4,60,15.0,222,220.0,3700.0,1,0,spike,0.185
GGEnv,v2,v2,random,103,4,60,15.0,110,108.0,1825.0,1,0,oob,0.209
GGEnv,v2,v2,random,104,4,60,15.0,87,85.0,1450.0,1,0,spike,0.207
GGEnv,v2,v2,random,105,4,60,15.0,191,189.0,3183.3,1,0,oob,0.168
GGEnv,v2,v2,random,106,4,60,15.0,99,97.0,1641.7,1,0,spike,0.232
GGEnv,v2,v2,random,107,4,60,15.0,161,159.0,2675.0,1,0,spike,0.224
GGEnv,v2,v2,random,108,4,60,15.0,104,102.0,1729.2,1,0,spike,0.202
GGEnv,v2,v2,random,109,4,60,15.0,96,94.0,1600.0,1,0,oob,0.177
GGEnv,v2,v2,random,110,4,60,15.0,120,118.0,1995.8,1,0,spike,0.225
GGEnv,v2,v2,random,111,4,60,15.0,87,85.0,1450.0,1,0,spike,0.195
GGEnv,v2,v2,random,112,4,60,15.0,116,114.0,1933.3,1,0,spike,0.267
GGEnv,v2,v2,random,113,4,60,15.0,135,133.0,2250.0,1,0,spike,0.185
GGEnv,v2,v2,random,114,4,60,15.0,95,93.0,1583.3,1,0,spike,0.189
GGEnv,v2,v2,random,115,4,60,15.0,166,164.0,2766.7,1,0,spike,0.247
GGEnv,v2,v2,random,116,4,60,15.0,263,261.0,4383.3,1,0,spike,0.160
GGEnv,v2,v2,random,117,4,60,15.0,112,110.0,1858.3,1,0,spike,0.170
GGEnv,v2,v2,random,118,4,60,15.0,141,139.0,2350.0,1,0,spike,0.170
GGEnv,v2,v2,random,119,4,60,15.0,99,97.0,1650.0,1,0,spike,0.141
GGEnv,v2,v2,random,120,4,60,15.0,90,88.0,1491.7,1,0,spike,0.222
GGEnv,v2,v2,heuristic,101,4,60,15.0,127,125.0,2108.3,1,0,oob,0.772
GGEnv,v2,v2,heuristic,102,4,60,15.0,247,245.0,4112.5,1,0,oob,0.866
GGEnv,v2,v2,heuristic,103,4,60,15.0,198,196.0,3291.7,1,0,oob,0.848
GGEnv,v2,v2,heuristic,104,4,60,15.0,88,86.0,1458.3,1,0,spike,0.864
GGEnv,v2,v2,heuristic,105,4,60,15.0,192,190.0,3195.8,1,0,oob,0.932
GGEnv,v2,v2,heuristic,106,4,60,15.0,144,142.0,2395.8,1,0,oob,0.903
GGEnv,v2,v2,heuristic,107,4,60,15.0,169,167.0,2808.3,1,0,oob,0.793
GGEnv,v2,v2,heuristic,108,4,60,15.0,92,90.0,1533.3,1,0,spike,0.924
GGEnv,v2,v2,heuristic,109,4,60,15.0,95,93.0,1575.0,1,0,oob,0.863
GGEnv,v2,v2,heuristic,110,4,60,15.0,131,129.0,2175.0,1,0,spike,0.893
GGEnv,v2,v2,heuristic,111,4,60,15.0,296,294.0,4933.3,1,0,oob,0.875
GGEnv,v2,v2,heuristic,112,4,60,15.0,187,185.0,3108.3,1,0,oob,0.888
GGEnv,v2,v2,heuristic,113,4,60,15.0,296,294.0,4933.3,1,0,spike,0.818
GGEnv,v2,v2,heuristic,114,4,60,15.0,180,178.0,2991.7,1,0,oob,0.922
GGEnv,v2,v2,heuristic,115,4,60,15.0,324,322.0,5395.8,1,0,oob,0.904
GGEnv,v2,v2,heuristic,116,4,60,15.0,269,267.0,4479.2,1,0,spike,0.922
GGEnv,v2,v2,heuristic,117,4,60,15.0,112,110.0,1858.3,1,0,spike,0.884
GGEnv,v2,v2,heuristic,118,4,60,15.0,320,318.0,5333.3,1,0,spike,0.809
GGEnv,v2,v2,heuristic,119,4,60,15.0,124,122.0,2058.3,1,0,spike,0.839
GGEnv,v2,v2,heuristic,120,4,60,15.0,117,115.0,1937.5,1,0,oob,0.829
